epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.419,1.84474,2.1724,1.26293,0.44554,0.27555,0.26712,0.12386,2.03718,2.32401,1.33593,0.0700234,0.00333074,0.00333074
2,434.583,1.64765,1.74477,1.1694,0.65002,0.36082,0.42905,0.21984,1.8237,1.84242,1.22903,0.0399409,0.0065816,0.0065816
3,646.684,1.58184,1.59361,1.14127,0.6129,0.40381,0.46331,0.26299,1.58289,1.71555,1.16197,0.00977593,0.00974997,0.00974997
4,858.121,1.51995,1.51213,1.10928,0.57738,0.42354,0.45598,0.25941,1.60269,1.75633,1.17479,0.00962875,0.00962875,0.00962875
5,1069.56,1.50919,1.49277,1.10487,0.63327,0.45877,0.51637,0.28996,1.62863,1.6123,1.16566,0.009505,0.009505,0.009505
6,1280.98,1.48688,1.44404,1.09208,0.60194,0.4482,0.49043,0.28422,1.51697,1.68918,1.14589,0.00938125,0.00938125,0.00938125
7,1492.31,1.44139,1.37358,1.0765,0.66338,0.51092,0.5713,0.34228,1.46958,1.42029,1.11732,0.0092575,0.0092575,0.0092575
8,1702.51,1.41957,1.30292,1.06386,0.7157,0.45416,0.54037,0.33156,1.44871,1.51681,1.09535,0.00913375,0.00913375,0.00913375
9,1913.05,1.38474,1.27278,1.04916,0.70015,0.47851,0.55275,0.32105,1.5258,1.56319,1.11477,0.00901,0.00901,0.00901
10,2123.82,1.39998,1.25924,1.05602,0.69397,0.49219,0.55445,0.34064,1.43139,1.43718,1.10026,0.00888625,0.00888625,0.00888625
11,2334.67,1.3851,1.24314,1.04481,0.68698,0.5081,0.56616,0.32671,1.52029,1.44835,1.10868,0.0087625,0.0087625,0.0087625
12,2544.62,1.35228,1.18421,1.03472,0.69305,0.52361,0.58859,0.33806,1.50439,1.41475,1.11186,0.00863875,0.00863875,0.00863875
13,2755.27,1.35741,1.17477,1.03535,0.72354,0.51304,0.59144,0.35042,1.4631,1.37348,1.09295,0.008515,0.008515,0.008515
